iter	Logloss
0	0.5275607579
1	0.4022223833
2	0.2944185172
3	0.224276614
4	0.1660382256
5	0.1252101368
6	0.08865445219
7	0.06809315227
8	0.05255546974
9	0.04121485044
10	0.02848173664
11	0.02335136789
12	0.01784841462
13	0.01297551636
14	0.009717924238
15	0.007442170128
16	0.005791714743
17	0.004619155094
18	0.003750242578
19	0.003113723516
20	0.002633580352
21	0.002274588393
22	0.001994965066
23	0.001776195581
24	0.001606934466
25	0.001471894084
26	0.001369780917
27	0.001277704666
28	0.001209559355
29	0.00114418634
30	0.001094913996
31	0.001052956614
32	0.001019115036
33	0.0009834443677
34	0.0009556821019
35	0.0009303113826
36	0.0009075647287
37	0.0008882492047
38	0.0008712247619
39	0.0008588594839
40	0.0008483123674
41	0.0008378615075
42	0.0008265892907
43	0.0008183112079
44	0.0008099418103
45	0.0008037448548
46	0.0007963723944
47	0.0007906455191
48	0.00078527635
49	0.0007811554006
50	0.000778010622
51	0.0007749717964
52	0.0007717470978
53	0.0007686008992
54	0.0007654413305
55	0.0007619101893
56	0.0007595184071
57	0.0007569162234
58	0.0007551187763
59	0.0007526898744
60	0.0007501145765
61	0.0007483047298
62	0.0007467781122
63	0.0007457726686
64	0.0007439357445
65	0.0007424528157
66	0.0007407765594
67	0.0007399796086
68	0.000738474236
69	0.0007361368387
70	0.000735047253
71	0.0007337862802
72	0.0007321316755
73	0.0007316696114
74	0.0007310774509
75	0.0007296119694
76	0.0007288289959
77	0.0007271021457
78	0.0007262988444
79	0.0007256227531
80	0.0007245527952
81	0.000723334761
82	0.0007207246931
83	0.0007184070121
84	0.0007170046685
85	0.0007147698163
86	0.0007128840828
87	0.0007107515052
88	0.0007102029213
89	0.0007082931631
90	0.0007066265077
91	0.0007054894447
92	0.0007042414327
93	0.0007029941439
94	0.0007018128567
95	0.0007012229807
96	0.000700122694
97	0.0006990106447
98	0.0006985382062
99	0.000697491529
100	0.0006965630745
101	0.0006955552372
102	0.0006950287852
103	0.0006938511937
104	0.0006928986853
105	0.0006917252893
106	0.0006903219612
107	0.0006894209492
108	0.0006885182082
109	0.0006880057782
110	0.0006871271933
111	0.0006863410635
112	0.0006859356749
113	0.0006850884419
114	0.0006837200316
115	0.0006833186888
116	0.0006816097866
117	0.0006811256085
118	0.0006800861243
119	0.000679302783
120	0.0006769909691
121	0.0006762037215
122	0.0006754216286
123	0.0006750522626
124	0.0006743516523
125	0.0006735413236
126	0.0006726621421
127	0.0006721973926
128	0.0006707017008
129	0.0006696537766
130	0.000669258966
131	0.0006690057603
132	0.0006685063191
133	0.0006675184116
134	0.0006668477884
135	0.0006660597609
136	0.0006648453499
137	0.0006644167159
138	0.0006635708968
139	0.0006630412695
140	0.0006620542019
141	0.0006614346539
142	0.0006610411344
143	0.0006599633178
144	0.0006594445385
145	0.0006587238784
146	0.0006580713366
147	0.0006570560294
148	0.00065677475
149	0.0006564747352
150	0.0006558889016
151	0.0006554521222
152	0.0006547136047
153	0.000653810681
154	0.0006532156452
155	0.0006527156436
156	0.0006520790271
157	0.0006515787981
158	0.0006499699049
159	0.0006495260451
160	0.0006489207063
161	0.0006479702179
162	0.0006463289056
163	0.000645436696
164	0.0006446460089
165	0.000643557067
166	0.0006425652699
167	0.0006419630319
168	0.0006414451478
169	0.0006406089638
170	0.000639066663
171	0.0006385980266
172	0.0006377953696
173	0.0006367055337
174	0.0006354738221
